sc.1,sc.2,sc.3,sc.4,connect,efficacy,support,press,stress,depression,dep_risk,gender,race,grade,family
3,2,3,3,11,38,12,23,28,28,High,Female,White,     9,One
3,3,3,3,12,44,10,27,32,28,High,Female,White,    11,Other
3,3,2,3,11,37,8,29,27,29,High,Male,White,    12,One
2,1,1,2,6,23,5,17,23,29,High,Male,White,    11,One
3,3,3,3,12,43,20,31,42,29,High,Female,White,     9,One
4,3,2,3,12,29,5,23,12,29,High,Male,White,     9,Both
2,2,3,3,10,40,9,15,27,29,High,Female,White,    12,Both
3,3,3,3,12,40,15,25,31,29,High,Female,White,    11,Both
2,2,2,2,8,30,11,24,23,29,High,Female,Other,    11,One
2,3,2,4,11,34,12,28,31,29,High,Male,White,    12,Both
2,2,2,3,9,31,9,21,0,30,High,Male,White,     9,One
3,3,2,2,10,34,16,25,30,30,High,Male,White,    11,One
3,1,1,1,6,18,9,23,23,30,High,Male,White,    10,One
4,2,2,3,11,41,12,27,38,30,High,Female,White,    11,Both
2,1,2,1,6,23,9,16,28,30,High,Male,White,    12,Both
2,2,2,2,8,39,11,27,34,30,High,Male,White,    11,One
3,2,3,2,10,36,17,24,36,30,High,Female,White,    10,Both
2,2,2,2,8,33,13,24,44,30,High,Female,White,     9,One
4,2,2,2,10,34,12,24,27,31,High,Male,Other,    11,One
4,3,3,3,13,41,11,18,41,31,High,Female,Other,     9,One
2,1,1,1,5,32,13,27,40,31,High,Female,White,    11,One
1,1,1,2,5,49,15,35,37,31,High,Female,White,    10,Both
3,3,3,3,12,41,6,32,29,31,High,Female,Other,    11,Both
3,3,3,2,11,32,5,25,42,31,High,Female,White,    10,One
2,1,2,1,6,36,7,17,23,31,High,Male,White,     9,Both
3,2,3,2,10,34,5,21,43,31,High,Female,White,    10,One
3,3,2,2,10,38,16,25,49,31,High,Female,Other,     9,Both
3,2,3,3,11,21,15,26,37,31,High,Female,White,     9,One
2,2,2,2,8,26,12,17,60,31,High,Male,Other,    10,Other
3,2,1,1,7,33,6,17,29,31,High,Female,White,    10,Both
3,3,3,3,12,37,16,21,23,31,High,Female,White,    12,One
3,3,3,3,12,35,10,29,38,31,High,Female,White,    11,One
4,1,1,1,7,40,8,14,54,32,High,Male,Other,    12,Both
3,2,2,3,10,42,8,26,19,32,High,Male,Other,    10,Both
2,2,2,2,8,25,7,20,38,32,High,Female,White,    11,One
2,2,3,3,10,40,18,23,32,32,High,Female,Other,    12,Other
3,1,1,3,8,30,13,24,36,32,High,Male,White,    12,Both
3,4,3,2,12,37,14,17,47,32,High,Male,White,    11,Other
3,2,2,3,10,43,11,32,39,33,High,Female,White,    10,Both
2,2,2,1,7,34,8,29,36,33,High,Female,Other,    12,Both
3,1,2,2,8,31,6,18,41,33,High,Female,White,     9,Both
4,3,3,3,13,31,12,20,24,33,High,Female,White,    11,Both
3,1,1,2,7,31,10,16,32,33,High,Male,White,    11,One
2,2,2,2,8,25,8,20,48,33,High,Female,White,     9,One
2,3,2,2,9,22,11,16,30,33,High,Male,Other,    12,Other
4,1,3,1,9,30,13,30,31,33,High,Female,Other,     9,Both
3,2,3,2,10,32,10,23,29,33,High,Female,White,    11,One
2,1,3,2,8,33,11,22,39,33,High,Male,Other,    10,One
2,2,2,1,7,32,9,20,31,33,High,Male,Other,    11,One
3,3,2,3,11,35,6,26,30,34,High,Male,White,     9,Both
3,2,2,1,8,30,8,22,46,35,High,Male,White,    11,Both
1,3,3,2,9,26,8,20,43,35,High,Female,White,     9,One
1,2,1,2,6,44,7,25,56,35,High,Male,White,    10,Both
3,3,3,3,12,35,11,23,26,35,High,Female,White,     9,One
3,4,2,4,13,43,14,35,31,35,High,Female,White,     9,One
2,3,3,3,11,43,7,33,42,35,High,Female,White,    12,One
2,3,2,3,10,34,9,24,25,35,High,Female,White,     9,Both
2,2,2,2,8,29,11,20,42,35,High,Female,Other,     9,One
3,2,2,1,8,35,6,12,45,35,High,Female,White,    11,Both
2,3,2,1,8,46,16,27,30,36,High,Male,White,     9,One
3,3,2,3,11,35,11,22,47,36,High,Male,White,     9,One
3,2,2,2,9,30,7,25,35,36,High,Female,White,    11,One
2,3,2,3,10,42,5,25,41,36,High,Female,White,    10,One
2,1,1,2,6,28,4,26,46,36,High,Female,Other,    10,Other
3,3,2,1,9,20,0,24,35,36,High,Male,White,    12,Both
3,1,3,1,8,32,5,23,27,36,High,Male,Other,     9,One
3,3,3,3,12,30,11,30,42,36,High,Female,White,    11,Both
1,1,2,2,6,44,13,26,48,36,High,Female,White,     9,One
3,3,3,2,11,43,12,26,52,36,High,Female,Other,    10,One
3,3,3,2,11,43,15,29,37,36,High,Male,Other,     9,One
3,4,2,1,10,38,7,33,33,36,High,Male,Other,    10,Other
2,2,2,3,9,36,6,25,35,37,High,Female,White,    11,Both
3,2,4,4,13,42,11,26,34,37,High,Male,White,     9,Both
2,3,2,3,10,38,18,28,25,37,High,Female,Other,    12,One
3,1,3,1,8,23,1,13,0,37,High,Male,Other,    10,Other
2,4,3,3,12,44,9,34,34,37,High,Female,White,     9,Both
2,3,3,3,11,39,11,25,33,37,High,Female,White,     9,Other
2,2,2,3,9,41,3,24,43,37,High,Female,White,    12,One
4,3,3,3,13,35,11,29,27,38,High,Male,White,    11,Both
1,2,2,1,6,18,11,14,24,38,High,Female,White,    12,Both
4,3,3,2,12,36,9,27,36,38,High,Female,White,     9,Both
2,1,1,2,6,25,14,21,49,38,High,Female,White,    12,Other
3,3,3,3,12,38,11,34,35,38,High,Female,White,     9,One
3,3,3,3,12,30,11,26,31,38,High,Male,White,    10,One
3,3,3,1,10,37,14,24,36,38,High,Male,White,    10,Both
2,2,2,2,8,32,14,21,48,38,High,Female,White,    12,Both
1,2,1,3,7,33,9,30,25,39,High,Female,White,    11,Both
1,2,2,3,8,27,9,23,50,39,High,Female,White,    10,One
3,3,3,3,12,46,19,36,14,39,High,Female,White,     9,Both
3,3,3,2,11,32,14,18,42,39,High,Male,White,    10,Both
2,3,2,3,10,29,6,26,33,39,High,Female,White,    11,Both
2,3,2,2,9,33,7,22,43,39,High,Female,White,     9,Both
2,2,2,2,8,26,2,16,25,39,High,Male,White,    11,One
1,1,1,1,4,47,6,17,36,40,High,Female,Other,     9,One
2,2,2,2,8,39,10,22,30,40,High,Female,White,    10,One
3,2,3,3,11,38,8,29,20,40,High,Male,White,    12,Other
2,1,2,3,8,35,7,12,22,40,High,Female,White,    10,One
1,2,3,2,8,29,17,20,43,41,High,Female,White,    10,Both
3,3,3,2,11,29,15,29,49,41,High,Male,White,    10,Both
3,3,2,3,11,29,10,13,53,42,High,Female,White,     9,One
3,2,1,2,8,37,9,20,35,42,High,Male,White,    11,One
3,3,2,3,11,38,20,24,38,43,High,Female,Other,    10,Both
1,1,1,1,4,16,14,16,54,43,High,Male,White,    10,One
3,3,3,2,11,27,6,10,47,43,High,Male,Other,    10,One
1,1,1,1,4,20,13,10,48,43,High,Female,White,    12,One
1,1,1,1,4,20,13,10,48,43,High,Female,White,    12,One
2,3,3,2,10,42,14,29,37,43,High,Female,Other,     9,One
2,2,2,1,7,42,18,30,33,43,High,Male,White,     9,Other
3,1,1,2,7,25,10,15,45,44,High,Female,Other,    10,One
3,3,3,2,11,39,20,30,49,44,High,Female,Other,    10,Both
3,3,3,2,11,38,7,26,42,44,High,Female,Other,    11,Both
1,1,4,1,7,22,4,16,30,44,High,Male,White,    12,Both
1,1,1,1,4,27,9,13,42,45,High,Male,Other,    12,Other
2,2,2,1,7,36,14,21,38,46,High,Female,White,    10,One
2,3,2,1,8,34,15,17,23,47,High,Male,Other,     9,Both
3,1,1,1,6,26,10,15,50,47,High,Male,White,     9,One
3,3,3,3,12,45,13,32,59,47,High,Female,Other,    10,One
2,2,3,3,10,31,6,21,49,47,High,Female,Other,    11,One
2,3,2,1,8,36,6,32,36,47,High,Female,White,     9,One
4,3,2,2,11,38,7,27,45,48,High,Female,White,     9,Both
3,3,2,3,11,25,19,29,44,48,High,Female,White,     9,One
1,1,1,1,4,42,3,12,36,48,High,Female,White,    12,One
1,1,1,1,4,50,0,9,6,48,High,Male,White,    12,Both
1,1,1,1,4,10,0,8,60,48,High,Male,White,    10,Other
2,2,2,1,7,32,10,13,10,48,High,Male,Other,     9,Other
3,3,3,3,12,40,7,20,47,48,High,Male,Other,    11,One
2,2,3,2,9,39,15,29,37,49,High,Female,Other,     9,One
3,4,4,1,12,24,8,17,47,49,High,Female,White,    10,One
3,1,2,1,7,22,10,9,56,50,High,Female,White,     9,Both
2,3,3,3,11,35,10,31,44,50,High,Male,White,    11,One
3,2,2,2,9,19,4,11,47,50,High,Female,White,    10,One
1,1,1,1,4,10,4,8,48,51,High,Female,White,    10,Both
1,3,3,1,8,28,5,17,39,51,High,Female,White,     9,One
3,2,3,2,10,37,8,26,41,51,High,Female,White,    11,Both
2,1,2,1,6,23,13,22,58,52,High,Female,White,    10,Both
1,1,1,1,4,26,2,16,51,54,High,Female,White,     9,One
2,2,1,1,6,22,6,16,44,54,High,Female,Other,     9,Both
1,2,2,1,6,14,6,8,59,54,High,Male,White,    12,Both
2,3,3,2,10,36,8,21,49,54,High,Female,White,    10,One
2,3,1,1,7,45,0,9,60,54,High,Female,Other,    10,Other
1,1,1,1,4,10,0,8,60,57,High,Male,Other,    11,Other
4,4,4,1,13,50,4,40,48,57,High,Male,White,     9,One
